netflix_id,title,image,imdb_rating,url,content_type,show_type,season_number,year,tv_rating,description,genre,cast,director,duration,language,updated_db,item_category
70139563,Aurora,https://www.whats-on-netflix.com/wp-content/uploads/covers/aurora.jpeg,6.7/10,https://www.whats-on-netflix.com/clickout?netflixid=70139563,,Movie,,2010,NR,"42-year-old Viorel, a distraught engineer, takes drastic measures to end his emotional suffering after enduring a devastating divorce.",Drama,"Cristi Puiu, Clara Voda, Catrinel Dumitrescu, Luminita Gheorghiu",Cristi Puiu,181 min,Romanian,"Mar 28, 2020",What’s New on Netflix
70140391,Grey's Anatomy,https://www.whats-on-netflix.com/wp-content/uploads/covers/greysanatomy.jpeg,7.6/10,https://www.whats-on-netflix.com/clickout?netflixid=70140391,,TV Series,Season 15,,TV-14,Intern (and eventual resident) Meredith Grey finds herself caught up in personal and professional passions with fellow doctors at a Seattle hospital.,"Drama, Romance","Justin Chambers, Ellen Pompeo, Chandra Wilson, James Pickens Jr.",,41 min,English,"Mar 28, 2020",What’s New on Netflix
70141648,Dream House,https://www.whats-on-netflix.com/wp-content/uploads/covers/dreamhouse.jpeg,6.0/10,https://www.whats-on-netflix.com/clickout?netflixid=70141648,,Movie,,2011,PG-13,"Abandoning high-stress Manhattan, Will moves to a quiet New England town but learns that his new home was the site of several brutal murders.","Drama, Mystery, Thriller","Daniel Craig, Naomi Watts, Rachel Weisz, Elias Koteas",Jim Sheridan,84 min,English,"Mar 28, 2020",What’s New on Netflix
70142542,Insidious,https://www.whats-on-netflix.com/wp-content/uploads/covers/insidious.jpeg,6.9/10,https://www.whats-on-netflix.com/clickout?netflixid=70142542,,Movie,,2010,PG-13,"Hoping to leave their haunted house behind, a suburban family moves to a new place, only to learn the home wasn't haunted... but their eldest son is.","Horror, Mystery, Thriller","Patrick Wilson, Rose Byrne, Ty Simpkins, Lin Shaye",James Wan,103 min,English,"Mar 28, 2020",What’s New on Netflix
70142827,Limitless,https://www.whats-on-netflix.com/wp-content/uploads/covers/limitless.jpeg,7.4/10,https://www.whats-on-netflix.com/clickout?netflixid=70142827,,Movie,,2011,PG-13,"With his writing career dragging, Eddie Morra finds his life turning around after he takes a drug that provides astonishing mental focus.","Mystery, Sci-Fi, Thriller","Bradley Cooper, Robert De Niro, Abbie Cornish, Andrew Howard",Neil Burger,105 min,English,"Mar 28, 2020",What’s New on Netflix
70142888,The Tourist,https://www.whats-on-netflix.com/wp-content/uploads/covers/thetourist.jpeg,6.0/10,https://www.whats-on-netflix.com/clickout?netflixid=70142888,,Movie,,2010,PG-13,An American tourist seeking solace for his shattered heart instead finds it in danger again after encountering a beautiful Interpol agent.,"Action, Adventure, Crime, Mystery, Romance, Thriller","Johnny Depp, Angelina Jolie, Paul Bettany, Timothy Dalton",Florian Henckel von Donnersmarck,103 min,English,"Mar 28, 2020",What’s New on Netflix
70143241,The Croods,https://www.whats-on-netflix.com/wp-content/uploads/covers/thecroods.jpeg,7.2/10,https://www.whats-on-netflix.com/clickout?netflixid=70143241,,Movie,,2013,PG,"When an earthquake obliterates their cave, an unworldly prehistoric family is forced to journey through unfamiliar terrain in search of a new home.","Animation, Action, Adventure, Comedy, Family, Fantasy","Nicolas Cage, Emma Stone, Ryan Reynolds, Catherine Keener","Kirk DeMicco, Chris Sanders",98 min,English,"Mar 28, 2020",What’s New on Netflix
70143369,John Carter,https://www.whats-on-netflix.com/wp-content/uploads/covers/johncarter.jpeg,6.6/10,https://www.whats-on-netflix.com/clickout?netflixid=70143369,,Movie,,2012,PG-13,"One minute, Civil War veteran John Carter is evading Apaches; the next, he's waking up on Mars, a once-fruitful planet that's devolved into chaos.","Action, Adventure, Sci-Fi","Taylor Kitsch, Lynn Collins, Samantha Morton, Willem Dafoe",Andrew Stanton,132 min,English,"Mar 28, 2020",What’s New on Netflix
70143825,Supernatural,https://www.whats-on-netflix.com/wp-content/uploads/covers/supernatural.jpeg,8.5/10,https://www.whats-on-netflix.com/clickout?netflixid=70143825,,TV Series,Season 14,,TV-14,"Siblings Dean and Sam crisscross the country, investigating paranormal activity and picking fights with demons, ghosts and monsters.","Drama, Fantasy, Horror, Mystery, Thriller","Jared Padalecki, Jensen Ackles, Misha Collins",,44 min,English,"Mar 28, 2020",What’s New on Netflix
70143831,The Universe,https://www.whats-on-netflix.com/wp-content/uploads/covers/theuniverse.jpeg,8.9/10,https://www.whats-on-netflix.com/clickout?netflixid=70143831,,TV Series,Season 1,,TV-PG,"Discover the secrets of the universe in this series that pairs animation with insights on distant planets, black holes and other celestial marvels.","Documentary, History","Erik Thompson, Alex Filippenko",,45 min,English,"Mar 28, 2020",What’s New on Netflix
